status,roundId,gameweek,home_team_id,home_team_score,away_team_id,away_team_score
Played,4406122,38,676,1,687,0
Played,4406122,38,679,2,701,2
Played,4406122,38,691,1,678,0
Played,4406122,38,674,2,677,1
Played,4406122,38,675,2,682,2
Played,4406122,38,696,0,680,1
Played,4406122,38,698,1,683,0
Played,4406122,38,714,1,756,2
Played,4406122,38,684,2,712,3
Played,4406122,38,692,4,695,2
Played,4406122,37,676,4,695,5
Played,4406122,37,691,4,683,1
Played,4406122,37,692,0,675,6
Played,4406122,37,674,1,756,0
Played,4406122,37,696,3,678,1
Played,4406122,37,677,2,682,4
Played,4406122,37,698,0,679,1
Played,4406122,37,684,2,680,2
Played,4406122,37,714,0,701,1
Played,4406122,37,687,3,712,2
Played,4406122,34,675,2,680,3
Played,4406122,34,676,5,682,1
Played,4406122,36,712,0,695,3
Played,4406122,36,675,2,676,2
Played,4406122,36,698,1,714,0
Played,4406122,36,691,2,679,0
Played,4406122,36,696,3,683,0
Played,4406122,36,674,0,682,1
Played,4406122,36,692,1,677,1
Played,4406122,36,684,0,678,2
Played,4406122,36,756,1,701,4
Played,4406122,36,687,0,680,1
Played,4406122,35,684,2,683,1
Played,4406122,35,676,4,677,2
Played,4406122,35,674,0,701,0
Played,4406122,35,696,0,679,1
Played,4406122,35,698,1,756,1
Played,4406122,35,692,1,682,4
Played,4406122,35,675,2,712,1
Played,4406122,35,687,3,678,1
Played,4406122,35,691,1,714,1
Played,4406122,35,680,1,695,2
Played,4406122,34,678,1,695,3
Played,4406122,34,684,0,679,0
Played,4406122,34,714,0,696,4
Played,4406122,34,687,0,683,2
Played,4406122,34,691,2,756,0
Played,4406122,34,692,1,674,1
Played,4406122,34,698,1,701,0
Played,4406122,34,677,0,712,0
Played,4406122,33,683,0,695,1
Played,4406122,33,684,1,714,0
Played,4406122,33,687,3,679,0
Played,4406122,33,696,1,756,2
Played,4406122,33,675,1,678,1
Played,4406122,33,691,0,701,1
Played,4406122,33,674,1,698,2
Played,4406122,33,712,1,682,2
Played,4406122,33,692,2,676,2
Played,4406122,33,677,0,680,0
Played,4406122,32,675,2,683,1
Played,4406122,32,698,1,691,0
Played,4406122,32,679,3,695,0
Played,4406122,32,696,1,701,0
Played,4406122,32,677,3,678,2
Played,4406122,32,687,1,714,0
Played,4406122,32,692,0,712,1
Played,4406122,32,674,1,676,2
Played,4406122,32,680,2,682,2
Played,4406122,32,684,1,756,0
Played,4406122,31,678,3,682,1
Played,4406122,31,674,1,691,0
Played,4406122,31,687,5,756,0
Played,4406122,31,675,1,679,1
Played,4406122,31,714,1,695,2
Played,4406122,31,676,3,712,1
Played,4406122,31,684,2,701,0
Played,4406122,31,692,4,680,0
Played,4406122,31,698,0,696,2
Played,4406122,31,677,3,683,2
Played,4406122,30,684,1,698,0
Played,4406122,30,677,0,679,1
Played,4406122,30,687,0,701,0
Played,4406122,30,683,1,682,0
Played,4406122,30,674,1,712,0
Played,4406122,30,691,0,696,0
Played,4406122,30,676,2,680,2
Played,4406122,30,675,3,714,0
Played,4406122,30,692,1,678,1
Played,4406122,30,756,1,695,1
Played,4406122,29,675,6,756,3
Played,4406122,29,679,1,682,2
Played,4406122,29,692,0,683,0
Played,4406122,29,676,2,678,0
Played,4406122,29,712,2,680,1
Played,4406122,29,684,3,691,0
Played,4406122,29,687,1,698,2
Played,4406122,29,674,3,696,1
Played,4406122,29,677,1,714,1
Played,4406122,29,701,1,695,2
Played,4406122,28,684,3,696,1
Played,4406122,28,678,2,712,0
Played,4406122,28,714,0,682,2
Played,4406122,28,692,0,679,3
Played,4406122,28,687,1,691,2
Played,4406122,28,676,2,683,0
Played,4406122,28,698,0,695,1
Played,4406122,28,674,2,680,0
Played,4406122,28,675,2,701,1
Played,4406122,28,677,0,756,2
Played,4406122,27,692,2,714,1
Played,4406122,27,674,2,684,0
Played,4406122,27,687,2,696,1
Played,4406122,27,676,1,679,0
Played,4406122,27,691,1,695,1
Played,4406122,27,675,3,698,1
Played,4406122,27,712,2,683,0
Played,4406122,27,677,1,701,1
Played,4406122,27,678,0,680,2
Played,4406122,27,756,2,682,0
Played,4406122,26,696,1,695,0
Played,4406122,26,676,1,714,1
Played,4406122,26,684,0,687,0
Played,4406122,26,679,4,712,0
Played,4406122,26,701,1,682,0
Played,4406122,26,698,3,677,0
Played,4406122,26,674,1,678,1
Played,4406122,26,680,1,683,0
Played,4406122,26,692,0,756,1
Played,4406122,26,675,0,691,1
Played,4406122,25,684,2,695,0
Played,4406122,25,680,2,679,5
Played,4406122,25,674,2,687,1
Played,4406122,25,678,2,683,1
Played,4406122,25,698,0,682,1
Played,4406122,25,676,6,756,1
Played,4406122,25,714,0,712,0
Played,4406122,25,675,4,696,0
Played,4406122,25,692,2,701,0
Played,4406122,25,677,0,691,0
Played,4406122,16,675,3,712,1
Played,4406122,24,692,0,698,3
Played,4406122,24,684,3,675,5
Played,4406122,24,691,1,682,1
Played,4406122,24,678,0,679,2
Played,4406122,24,687,3,695,0
Played,4406122,24,674,2,683,1
Played,4406122,24,677,0,696,1
Played,4406122,24,676,2,701,0
Played,4406122,24,714,1,680,2
Played,4406122,24,756,3,712,0
Played,4406122,23,684,1,677,0
Played,4406122,23,674,3,695,1
Played,4406122,23,692,2,691,2
Played,4406122,23,676,0,698,0
Played,4406122,23,680,1,756,0
Played,4406122,23,675,5,687,2
Played,4406122,23,712,0,701,1
