status,roundId,gameweek,home_team_id,home_team_score,away_team_id,away_team_score
Played,4165474,0,9905,0,4418,0
Played,4165473,0,3148,0,4418,2
Played,4165473,0,10682,0,9905,2
Played,4165472,0,7839,2,4418,5
Played,4165472,0,3148,1,3757,1
Played,4165472,0,10682,3,5629,1
Played,4165472,0,9905,1,13869,1
Played,4165471,0,7839,2,2413,1
Played,4165471,0,1598,0,3757,2
Played,4165471,0,10451,0,5629,4
Played,4165471,0,3148,3,14496,0
Played,4165471,0,8274,1,4418,2
Played,4165471,0,9905,0,9598,0
Played,4165471,0,10682,1,10962,0
Played,4165471,0,6697,1,13869,1
Played,4165470,3,7047,0,5629,1
Played,4165470,3,8274,1,3757,0
Played,4165470,3,10451,3,9905,3
Played,4165470,3,7839,2,9109,1
Played,4165470,3,4687,2,11555,0
Played,4165470,3,9598,2,1598,1
Played,4165470,3,14622,0,13869,1
Played,4165470,3,3148,1,10962,0
Played,4165470,3,2413,0,14496,0
Played,4165470,3,14358,0,10682,3
Played,4165470,3,6697,0,4418,0
Played,4165470,3,11944,0,8731,1
Played,4165470,2,9905,0,9109,0
Played,4165470,2,7839,1,10451,1
Played,4165470,2,8274,0,5629,3
Played,4165470,2,4687,0,1598,3
Played,4165470,2,11555,2,9598,2
Played,4165470,2,7047,0,3757,1
Played,4165470,2,3148,0,13869,0
Played,4165470,2,10962,2,14622,0
Played,4165470,2,10682,1,2413,2
Played,4165470,2,4418,2,8731,0
Played,4165470,2,11944,1,6697,1
Played,4165470,2,14358,1,14496,2
Played,4165470,1,7839,1,9905,1
Played,4165470,1,10451,2,9109,0
Played,4165470,1,5629,0,3757,2
Played,4165470,1,7047,1,8274,1
Played,4165470,1,11555,0,1598,1
Played,4165470,1,3148,2,14622,0
Played,4165470,1,10962,0,13869,1
Played,4165470,1,4687,0,9598,1
Played,4165470,1,14358,1,2413,1
Played,4165470,1,10682,2,14496,1
Played,4165470,1,6697,1,8731,0
Played,4165470,1,11944,1,4418,2
