status,roundId,gameweek,home_team_id,home_team_score,away_team_id,away_team_score
Played,4406278,38,3162,2,3161,3
Played,4406278,38,3158,1,3315,0
Played,4406278,38,3173,1,3172,0
Played,4406278,38,3165,1,3219,0
Played,4406278,38,3166,0,3163,1
Played,4406278,38,3197,1,3187,2
Played,4406278,38,3157,5,3176,1
Played,4406278,38,3164,1,3204,3
Played,4406278,38,3185,2,3193,1
Played,4406278,38,3159,2,3194,1
Played,4406278,37,3159,0,3158,0
Played,4406278,37,3164,0,3187,2
Played,4406278,37,3172,1,3157,1
Played,4406278,37,3173,1,3176,0
Played,4406278,37,3166,1,3165,2
Played,4406278,37,3197,2,3162,2
Played,4406278,37,3185,2,3204,1
Played,4406278,37,3194,0,3163,1
Played,4406278,37,3315,2,3161,1
Played,4406278,37,3193,0,3219,1
Played,4406278,36,3173,0,3158,1
Played,4406278,36,3164,0,3315,1
Played,4406278,36,3172,1,3162,1
Played,4406278,36,3204,2,3219,0
Played,4406278,36,3197,1,3165,2
Played,4406278,36,3193,2,3176,3
Played,4406278,36,3185,2,3187,2
Played,4406278,36,3163,0,3161,4
Played,4406278,36,3166,1,3159,3
Played,4406278,36,3194,1,3157,4
Played,4406278,35,3185,0,3162,1
Played,4406278,35,3187,0,3176,3
Played,4406278,35,3164,4,3173,1
Played,4406278,35,3172,3,3193,1
Played,4406278,35,3166,1,3157,2
Played,4406278,35,3204,3,3194,1
Played,4406278,35,3219,3,3163,3
Played,4406278,35,3197,4,3315,1
Played,4406278,35,3159,3,3161,2
Played,4406278,35,3165,1,3158,4
Played,4406278,34,3194,1,3193,3
Played,4406278,34,3159,0,3187,1
Played,4406278,34,3197,2,3163,1
Played,4406278,34,3165,1,3161,2
Played,4406278,34,3164,0,3162,4
Played,4406278,34,3185,1,3172,2
Played,4406278,34,3166,0,3173,0
Played,4406278,34,3157,0,3219,1
Played,4406278,34,3315,1,3176,0
Played,4406278,34,3204,0,3158,3
Played,4406278,33,3166,0,3164,1
Played,4406278,33,3204,0,3165,0
Played,4406278,33,3158,2,3193,1
Played,4406278,33,3197,1,3159,1
Played,4406278,33,3162,4,3176,3
Played,4406278,33,3185,1,3157,1
Played,4406278,33,3194,0,3315,1
Played,4406278,33,3187,4,3163,2
Played,4406278,33,3172,3,3219,0
Played,4406278,33,3173,0,3161,4
